trade_date,trade_code,exchange
2024.09.13,T2409,CFE
2024.09.13,TF2409,CFE
2024.09.13,TL2409,CFE
2024.09.13,TS2409,CFE
2024.09.20,IM2409,CFE
2024.09.20,IC2409,CFE
2024.09.20,IH2409,CFE
2024.09.20,IF2409,CFE
2024.12.13,TF2412,CFE
2024.12.13,TS2412,CFE
2024.12.13,T2412,CFE
2024.12.13,TL2412,CFE
2024.12.20,IM2412,CFE
2024.12.20,IF2412,CFE
2024.12.20,IH2412,CFE
2024.12.20,IC2412,CFE
2024.10.21,AP410,CZC
2024.10.21,CY410,CZC
2024.10.21,FG410,CZC
2024.10.21,MA410,CZC
2024.10.21,PF410,CZC
2024.10.21,PK410,CZC
2024.10.21,SA410,CZC
2024.10.21,SF410,CZC
2024.10.21,SM410,CZC
2024.10.21,TA410,CZC
2024.10.21,UR410,CZC
2025.01.14,FG501,CZC
2024.12.13,PX412,CZC
2025.01.14,JR501,CZC
2025.01.14,OI501,CZC
2025.01.14,PX501,CZC
2025.01.14,AP501,CZC
2024.11.14,SF411,CZC
2024.08.14,SH408,CZC
2024.09.13,SH409,CZC
2024.12.13,PK412,CZC
2024.12.13,PF412,CZC
2025.01.14,MA501,CZC
2024.12.13,SH412,CZC
2025.01.14,UR501,CZC
2025.01.14,SM501,CZC
2024.11.14,OI411,CZC
2024.11.14,RI411,CZC
2024.12.06,ZC412,CZC
2024.12.13,SM412,CZC
2025.01.14,LR501,CZC
2024.12.13,TA412,CZC
2024.11.14,CF411,CZC
2024.12.13,SF412,CZC
2025.01.14,RM501,CZC
2024.12.13,UR412,CZC
2024.12.13,FG412,CZC
2024.09.13,PM409,CZC
2024.09.13,WH409,CZC
2024.09.13,CF409,CZC
2024.09.13,SR409,CZC
2024.09.13,TA409,CZC
2024.09.13,OI409,CZC
2024.09.13,RI409,CZC
2024.09.13,MA409,CZC
2024.09.13,FG409,CZC
2024.09.13,RM409,CZC
2024.09.13,RS409,CZC
2024.09.13,JR409,CZC
2024.09.13,LR409,CZC
2024.09.13,SF409,CZC
2024.09.13,SM409,CZC
2024.09.13,CY409,CZC
2024.09.13,CJ409,CZC
2024.09.13,UR409,CZC
2024.09.13,SA409,CZC
2024.09.13,PF409,CZC
2025.01.14,PK501,CZC
2024.11.14,SR411,CZC
2025.01.14,SA501,CZC
2025.01.14,CF501,CZC
2025.01.14,CY501,CZC
2024.11.14,SM411,CZC
2025.01.14,SH501,CZC
2024.11.14,JR411,CZC
2024.11.07,ZC411,CZC
2024.12.13,SA412,CZC
2024.10.14,ZC410,CZC
2024.11.14,LR411,CZC
2024.11.14,PF411,CZC
2024.11.14,SH411,CZC
2024.11.14,RM411,CZC
2025.01.14,WH501,CZC
2024.12.13,CY412,CZC
2024.11.14,UR411,CZC
2024.11.14,MA411,CZC
2024.11.14,PK411,CZC
2024.11.14,FG411,CZC
2024.11.14,AP411,CZC
