TRADE_DT,B_ANAL_CURVENUMBER,B_ANAL_CURVETERM,B_ANAL_YIELD
2022.01.01,1041,0,8.8541
2022.01.01,1041,0.02,8.852200000000001
2022.01.01,1041,0.04,8.914799999999999
2022.01.01,1041,0.08,9.028099999999998
2022.01.01,1041,0.1,9.0205
2022.01.01,1041,0.17,8.954599999999999
2022.01.01,1041,0.2,8.957
2022.01.01,1041,0.25,8.964
2022.01.01,1041,0.3,8.976699999999999
2022.01.01,1041,0.4,9.030599999999999
2022.01.01,1041,0.5,9.0907
2022.01.01,1041,0.6,9.142699999999999
2022.01.01,1041,0.7,9.195999999999999
2022.01.01,1041,0.75,9.2225
2022.01.01,1041,0.8,9.247199999999995
2022.01.01,1041,0.9,9.290099999999997
2022.01.01,1041,1,9.331599999999999
2022.01.01,1041,1.1,9.374599999999999
2022.01.01,1041,1.2,9.416499999999999
2022.01.01,1041,1.3,9.457399999999999
2022.01.01,1041,1.4,9.4976
2022.01.01,1041,1.5,9.537299999999998
2022.01.01,1041,1.6,9.576599999999999
2022.01.01,1041,1.7,9.6158
2022.01.01,1041,1.8,9.655099999999999
2022.01.01,1041,1.9,9.694599999999999
2022.01.01,1041,2,9.734599999999998
2022.01.01,1041,2.1,9.7728
2022.01.01,1041,2.2,9.807299999999999
2022.01.01,1041,2.3,9.838599999999999
2022.01.01,1041,2.4,9.8674
2022.01.01,1041,2.5,9.8945
2022.01.01,1041,2.6,9.9205
2022.01.01,1041,2.7,9.946099999999999
2022.01.01,1041,2.8,9.9718
2022.01.01,1041,2.9,9.9985
2022.01.01,1041,3,10.026699999999999
2022.01.01,1041,3.1,10.061299999999999
2022.01.01,1041,3.2,10.1057
2022.01.01,1041,3.3,10.158099999999999
2022.01.01,1041,3.4,10.216799999999999
2022.01.01,1041,3.5,10.279999999999999
2022.01.01,1041,3.6,10.346099999999999
2022.01.01,1041,3.7,10.413399999999999
2022.01.01,1041,3.8,10.4801
2022.01.01,1041,3.9,10.544499999999999
2022.01.01,1041,4,10.604899999999998
2022.01.01,1041,4.1,10.6567
2022.01.01,1041,4.200000000000001,10.697899999999998
2022.01.01,1041,4.3,10.730299999999996
2022.01.01,1041,4.400000000000002,10.7558
2022.01.01,1041,4.5,10.7763
2022.01.01,1041,4.6,10.793599999999999
2022.01.01,1041,4.700000000000001,10.809599999999999
2022.01.01,1041,4.8,10.826299999999999
2022.01.01,1041,4.900000000000002,10.845599999999999
2022.01.01,1041,5,10.869199999999999
2022.01.01,1042,0,8.8541
2022.01.01,1042,0.02,8.852200000000001
2022.01.01,1042,0.04,8.914799999999999
2022.01.01,1042,0.08,9.028099999999998
2022.01.01,1042,0.1,9.0205
2022.01.01,1042,0.17,8.954599999999999
2022.01.01,1042,0.2,8.957
2022.01.01,1042,0.25,8.964
2022.01.01,1042,0.3,8.976699999999999
2022.01.01,1042,0.4,9.030599999999999
2022.01.01,1042,0.5,9.0907
2022.01.01,1042,0.6,9.142699999999999
2022.01.01,1042,0.7,9.195999999999999
2022.01.01,1042,0.75,9.2225
2022.01.01,1042,0.8,9.247199999999995
2022.01.01,1042,0.9,9.290099999999997
2022.01.01,1042,1,9.331599999999999
2022.01.01,1042,1.1,9.374299999999999
2022.01.01,1042,1.2,9.4151
2022.01.01,1042,1.3,9.454499999999999
2022.01.01,1042,1.4,9.4928
2022.01.01,1042,1.5,9.530299999999998
2022.01.01,1042,1.6,9.567199999999999
2022.01.01,1042,1.7,9.603899999999999
2022.01.01,1042,1.8,9.640699999999997
2022.01.01,1042,1.9,9.677899999999999
2022.01.01,1042,2,9.715899999999999
2022.01.01,1042,2.1,9.7522
2022.01.01,1042,2.2,9.784499999999999
2022.01.01,1042,2.3,9.8137
2022.01.01,1042,2.4,9.840299999999999
2022.01.01,1042,2.5,9.865199999999999
2022.01.01,1042,2.6,9.888799999999999
2022.01.01,1042,2.7,9.912
2022.01.01,1042,2.8,9.935499999999999
2022.01.01,1042,2.9,9.959799999999999
2022.01.01,1042,3,9.985799999999999
2022.01.01,1042,3.1,10.017199999999997
2022.01.01,1042,3.2,10.0564
2022.01.01,1042,3.3,10.1021
2022.01.01,1042,3.4,10.1529
2022.01.01,1042,3.5,10.207399999999999
2022.01.01,1042,3.6,10.264199999999998
2022.01.01,1042,3.7,10.321899999999999
2022.01.01,1042,3.8,10.379099999999999
2022.01.01,1042,3.9,10.434499999999999
2022.01.01,1042,4,10.4867
2022.01.01,1042,4.1,10.531599999999999
2022.01.01,1042,4.200000000000001,10.567299999999999
2022.01.01,1042,4.3,10.595399999999999
2022.01.01,1042,4.400000000000002,10.617599999999999
2022.01.01,1042,4.5,10.6354
2022.01.01,1042,4.6,10.650499999999999
2022.01.01,1042,4.700000000000001,10.6644
2022.01.01,1042,4.8,10.679
2022.01.01,1042,4.900000000000002,10.6957
2022.01.01,1042,5,10.716199999999998
2022.01.01,1051,0,6.564099999999999
2022.01.01,1051,0.02,6.5622
2022.01.01,1051,0.04,6.624799999999999
2022.01.01,1051,0.08,6.738100000000002
2022.01.01,1051,0.1,6.730500000000001
2022.01.01,1051,0.17,6.6646
2022.01.01,1051,0.2,6.666999999999999
2022.01.01,1051,0.25,6.674000000000001
2022.01.01,1051,0.3,6.6867
2022.01.01,1051,0.4,6.740600000000001
